"YEAR","STATE","RATE","DEATHS"
"2015","Maine","9.8","144"
"2015","Maryland","11.9","708"
"2015","Massachusetts","3","213"
"2015","Michigan","11.7","1164"
"2015","Minnesota","7.4","410"
"2015","Mississippi","19.6","589"
"2015","Missouri","18.1","1094"
"2015","Montana","19.2","205"
"2015","Nebraska","8.9","169"
"2015","Nevada","14.9","446"
"2015","New Hampshire","8.9","121"
"2015","New Jersey","5.4","475"
"2015","New Mexico","18.6","390"
"2015","New York","4.2","849"
"2015","North carolina","12.5","1289"
"2015","North Dakota","12.8","92"
"2015","Ohio","11.9","1397"
"2015","Oklahoma","18","706"
"2015","Oregon","11.4","486"
"2015","Pennsylvania","11.4","1485"
"2015","Rhode Island","4.7","51"
"2015","South Carolina","17.3","850"
"2015","South Dakota","11.1","96"
"2015","Tennessee","16","1075"
"2015","Texas","11.7","3203"
"2015","Utah","12.8","367"
"2015","Vermont","9.6","70"
"2015","Virginia","10.9","946"
"2015","Washington","9.8","718"
"2015","West Virginia","14","278"
"2015","Wisconsin","10.4","613"
"2015","Wyoming","19.6","113"
"2014","Alabama","16.9","815"
"2014","Alaska","19.2","145"
"2014","Arizona","13.5","927"
"2014","Arkansas","16.6","496"
"2014","California","7.4","2942"
"2014","Colorado","12.2","663"
"2014","Connecticut","5","187"
"2014","Delaware","11.1","102"
"2014","Florida","11.5","2410"
"2014","Georgia","13.7","1391"
"2014","Hawaii","2.6","40"
"2014","Idaho","13.2","213"
"2014","Illinois","9","1179"
"2014","Indiana","12.4","818"
"2014","Iowa","7.5","241"
"2014","Kansas","11.3","329"
"2014","Kentucky","13.9","634"
"2014","Louisiana","19","896"
"2014","Maine","9.4","133"
"2014","Maryland","9","546"
"2014","Massachusetts","3.2","226"
"2014","Michigan","11.1","1095"
"2014","Minnesota","6.6","377"
"2014","Mississippi","18.3","547"
"2014","Missouri","15.3","943"
"2014","Montana","16.1","172"
"2014","Nebraska","9.5","179"
"2014","Nevada","14.8","429"
"2014","New Hampshire","8.7","122"
"2014","New Jersey","5.3","468"
"2014","New Mexico","16","340"
"2014","New York","4.2","875"
"2014","North carolina","11.8","1206"
"2014","North Dakota","12.3","96"
"2014","Ohio","10.3","1211"
"2014","Oklahoma","15.7","611"
"2014","Oregon","11.7","497"
"2014","Pennsylvania","10.5","1390"
"2014","Rhode Island","3","34"
"2014","South Carolina","15.5","767"
"2014","South Dakota","10.3","89"
"2014","Tennessee","15.1","1016"
"2014","Texas","10.7","2848"
"2014","Utah","12.3","337"
"2014","Vermont","10.3","69"
"2014","Virginia","10.3","889"
"2014","Washington","9.7","702"
"2014","West Virginia","14.6","286"
"2014","Wisconsin","8.2","487"
"2014","Wyoming","16.2","93"
"2005","Alabama","16","736"
"2005","Alaska","17.5","116"
"2005","Arizona","16.1","934"
"2005","Arkansas","15.7","439"
"2005","California","9.5","3453"
"2005","Colorado","11.6","535"
"2005","Connecticut","5.3","187"
"2005","Delaware","8.8","75"
"2005","Florida","10","1838"
"2005","Georgia","12.1","1064"
"2005","Hawaii","2.1","28"
"2005","Idaho","14.1","195"
"2005","Illinois","8","1019"
"2005","Indiana","11.2","705"
"2005","Iowa","6.7","201"
"2005","Kansas","9.3","257"
"2005","Kentucky","13","548"
"2005","Louisiana","18.5","858"
"2005","Maine","7.8","109"
"2005","Maryland","11.9","657"
"2005","Massachusetts","3.4","224"
"2005","Michigan","10.8","1074"
"2005","Minnesota","7","361"
"2005","Mississippi","16","455"
"2005","Missouri","12.9","752"
"2005","Montana","16.9","161"
"2005","Nebraska","7.7","135"
"2005","Nevada","16.1","390"
"2005","New Hampshire","6.6","88"
"2005","New Jersey","5.2","434"
"2005","New Mexico","13.9","267"
"2005","New York","5.3","1019"
"2005","North carolina","12.8","1119"
"2005","North Dakota","8.8","61"
"2005","Ohio","9.6","1116"
"2005","Oklahoma","13.2","468"
"2005","Oregon","10.7","402"
"2005","Pennsylvania","10.8","1352"
"2005","Rhode Island","3.6","39"
"2005","South Carolina","13.8","589"
"2005","South Dakota","10.2","82"
"2005","Tennessee","16","976"
"2005","Texas","11.1","2490"
"2005","Utah","10.1","227"
"2005","Vermont","6.8","44"
"2005","Virginia","11.5","888"
"2005","Washington","8.8","567"
"2005","West Virginia","13.8","261"
"2005","Wisconsin","8.5","474"
"2005","Wyoming","13.4","71"
