Year,Jurisdiction,All students,Average scale score
2011,Maryland,All students,287.997802255227
2011,Massachusetts,All students,298.512431105164
2011,Michigan,All students,280.176517968298
2011,Minnesota,All students,294.946422810345
2011,Mississippi,All students,269.235645624753
2011,Missouri,All students,281.947646246654
2011,Montana,All students,292.907804277033
2011,Nebraska,All students,283.197044839966
2011,Nevada,All students,278.113153726165
2011,New Hampshire,All students,292.10873973776
2011,New Jersey,All students,294.138771366004
2011,New Mexico,All students,274.454701456959
2011,New York,All students,280.453026092986
2011,North Carolina,All students,286.267028242857
2011,North Dakota,All students,291.998404485775
2011,Ohio,All students,288.602596832439
2011,Oklahoma,All students,279.179608185009
2011,Oregon,All students,282.518206779261
2011,Pennsylvania,All students,286.102741735941
2011,Rhode Island,All students,282.875659622898
2011,South Carolina,All students,281.000133716553
2011,South Dakota,All students,290.61519679044
2011,Tennessee,All students,274.038710319906
2011,Texas,All students,290.346709355265
2011,Utah,All students,283.308332086503
2011,Vermont,All students,293.882577068531
2011,Virginia,All students,289.255411153431
2011,Washington,All students,288.107761945489
2011,West Virginia,All students,273.263173122564
2011,Wisconsin,All students,288.665932686223
2011,Wyoming,All students,287.767926048951
2009,Alabama,All students,268.524120315168
2009,Alaska,All students,283.047662800849
2009,Arizona,All students,277.332281962623
2009,Arkansas,All students,275.999499994013
2009,California,All students,270.448588146426
2009,Colorado,All students,287.372907515934
2009,Connecticut,All students,288.608513451696
2009,Delaware,All students,283.829472979958
2009,District of Columbia,All students,253.595186871272
2009,Florida,All students,279.33526411278
2009,Georgia,All students,277.561199732371
2009,Hawaii,All students,273.758606683625
2009,Idaho,All students,287.305215052426
2009,Illinois,All students,282.431416992088
2009,Indiana,All students,286.809977886735
2009,Iowa,All students,284.170178554705
2009,Kansas,All students,288.596403041255
2009,Kentucky,All students,279.284216093787
2009,Louisiana,All students,272.379906697646
2009,Maine,All students,286.361425938805
2009,Maryland,All students,288.341565298202
2009,Massachusetts,All students,298.854346618482
2009,Michigan,All students,278.268168151681
2009,Minnesota,All students,294.443320106986
2009,Mississippi,All students,265.001958154729
2009,Missouri,All students,285.808001946777
2009,Montana,All students,291.542942879491
2009,Nebraska,All students,284.259093531038
2009,Nevada,All students,274.148541684888
2009,New Hampshire,All students,292.321817220053
2009,New Jersey,All students,292.657227109585
2009,New Mexico,All students,269.704253797704
2009,New York,All students,282.576915418605
2009,North Carolina,All students,284.332635252336
2009,North Dakota,All students,292.842488544915
2009,Ohio,All students,285.583013784517
2009,Oklahoma,All students,275.711956830545
2009,Oregon,All students,285.036814371216
2009,Pennsylvania,All students,288.304168923925
2009,Rhode Island,All students,277.92371937219
2009,South Carolina,All students,280.380855413571
2009,South Dakota,All students,290.619127707892
2009,Tennessee,All students,274.761821088186
2009,Texas,All students,286.685076683873
2009,Utah,All students,284.068251870422
2009,Vermont,All students,292.866096352356
2009,Virginia,All students,286.069754986907
2009,Washington,All students,288.722375608773
2009,West Virginia,All students,270.415765915327
2009,Wisconsin,All students,288.140726236317
2009,Wyoming,All students,286.10403398533
2007,Alabama,All students,266.000109919931
2007,Alaska,All students,282.557154120707
2007,Arizona,All students,275.548426408372
2007,Arkansas,All students,273.89986215628
2007,California,All students,270.381784005669
2007,Colorado,All students,286.192756166341
2007,Connecticut,All students,282.472790062009
2007,Delaware,All students,282.992082743316
2007,District of Columbia,All students,248.198742417967
2007,Florida,All students,277.383497256758
2007,Georgia,All students,274.778664644925
2007,Hawaii,All students,268.772013351933
2007,Idaho,All students,283.507595771493
