Year,Jurisdiction,All students,Average scale score
2017,Alabama,All students,232.170687741509
2017,Alaska,All students,230.456277558902
2017,Arizona,All students,234.435788152091
2017,Arkansas,All students,233.848143678937
2017,California,All students,232.262940994562
2017,Colorado,All students,240.695016615505
2017,Connecticut,All students,239.237650900737
2017,Delaware,All students,236.127561706187
2017,District of Columbia,All students,231.320462145503
2017,Florida,All students,246.367695779459
2017,Georgia,All students,236.383603027145
2017,Hawaii,All students,237.919768737113
2017,Idaho,All students,239.967514081181
2017,Illinois,All students,238.118947435674
2017,Indiana,All students,246.513750055807
2017,Iowa,All students,243.107484364402
2017,Kansas,All students,241.21280456721
2017,Kentucky,All students,239.17825740582
2017,Louisiana,All students,228.971745398005
2017,Maine,All students,239.898994523321
2017,Maryland,All students,240.601277324157
2017,Massachusetts,All students,249.102673909928
2017,Michigan,All students,235.555472547462
2017,Minnesota,All students,248.804302567269
2017,Mississippi,All students,234.69419302812
2017,Missouri,All students,239.502289164298
2017,Montana,All students,240.721634498618
2017,Nebraska,All students,245.59067458725
2017,Nevada,All students,231.685162157891
2017,New Hampshire,All students,245.319838570829
2017,New Jersey,All students,247.855231175611
2017,New Mexico,All students,229.704281935704
2017,New York,All students,235.548457260667
2017,North Carolina,All students,240.951393074866
2017,North Dakota,All students,244.243515259852
2017,Ohio,All students,240.928372101796
2017,Oklahoma,All students,237.326270225647
2017,Oregon,All students,233.132459994163
2017,Pennsylvania,All students,241.672327208486
2017,Rhode Island,All students,237.554934304512
2017,South Carolina,All students,234.043992967064
2017,South Dakota,All students,241.58894696354
2017,Tennessee,All students,236.692515382765
2017,Texas,All students,240.943670668029
2017,Utah,All students,242.480766246533
2017,Vermont,All students,240.893297189484
2017,Virginia,All students,248.041059058675
2017,Washington,All students,241.701000965358
2017,West Virginia,All students,236.057018907755
2017,Wisconsin,All students,240.389213393097
2017,Wyoming,All students,247.820619209134
2015,Alabama,All students,230.977422662321
2015,Alaska,All students,236.328416950897
2015,Arizona,All students,237.61175542795
2015,Arkansas,All students,235.215469726642
2015,California,All students,231.549345006155
2015,Colorado,All students,241.563575620412
2015,Connecticut,All students,240.159468855002
2015,Delaware,All students,238.67801881991
2015,District of Columbia,All students,231.307525116183
2015,Florida,All students,242.664320928614
2015,Georgia,All students,236.452519256357
2015,Hawaii,All students,237.895806837329
2015,Idaho,All students,238.799624712685
2015,Illinois,All students,237.307813789509
2015,Indiana,All students,247.652183620087
2015,Iowa,All students,243.339911874178
2015,Kansas,All students,241.067208517258
2015,Kentucky,All students,241.727761931052
2015,Louisiana,All students,234.28190182677
2015,Maine,All students,242.244654099765
2015,Maryland,All students,239.49975090765
2015,Massachusetts,All students,250.565777826282
2015,Michigan,All students,235.728893690295
2015,Minnesota,All students,249.575846952089
2015,Mississippi,All students,234.243053139768
2015,Missouri,All students,238.964922500718
2015,Montana,All students,241.287048262014
2015,Nebraska,All students,243.863666875446
2015,Nevada,All students,233.827016206925
2015,New Hampshire,All students,249.150621351838
2015,New Jersey,All students,245.383220077076
2015,New Mexico,All students,231.167235964367
2015,New York,All students,236.796927043204
2015,North Carolina,All students,243.742266788879
2015,North Dakota,All students,244.71383057758
2015,Ohio,All students,243.598591203345
2015,Oklahoma,All students,239.760481447062
2015,Oregon,All students,237.74670893826
2015,Pennsylvania,All students,243.312239940824
2015,Rhode Island,All students,238.001729682764
2015,South Carolina,All students,237.089571458614
2015,South Dakota,All students,239.723094945658
2015,Tennessee,All students,240.667395743119
2015,Texas,All students,244.00247204328
2015,Utah,All students,242.562787058815
2015,Vermont,All students,243.250399158154
2015,Virginia,All students,246.612621705962
2015,Washington,All students,244.981422185301
2015,West Virginia,All students,235.204661462065
2015,Wisconsin,All students,243.310211318799
2015,Wyoming,All students,246.759764467268
2013,Alabama,All students,232.861332466148
2013,Alaska,All students,236.122004416339
2013,Arizona,All students,240.304911470576
2013,Arkansas,All students,239.89052210005
2013,California,All students,233.654464624413
2013,Colorado,All students,246.975708032011
2013,Connecticut,All students,243.440297394202
2013,Delaware,All students,243.107758182676
2013,District of Columbia,All students,228.567253872576
2013,Florida,All students,241.675809566843
2013,Georgia,All students,240.04723664593
2013,Hawaii,All students,243.308618941163
2013,Idaho,All students,240.722019842936
2013,Illinois,All students,239.000204017003
2013,Indiana,All students,248.596777358002
2013,Iowa,All students,245.793505546843
2013,Kansas,All students,246.185701870944
2013,Kentucky,All students,241.469926794712
2013,Louisiana,All students,231.36630864379
2013,Maine,All students,245.847001798672
2013,Maryland,All students,245.169379546775
2013,Massachusetts,All students,253.033785201779
2013,Michigan,All students,236.819778402754
2013,Minnesota,All students,253.420961133202
2013,Mississippi,All students,231.105721411129
2013,Missouri,All students,239.548361930055
2013,Montana,All students,243.69888459472
2013,Nebraska,All students,243.157929125431
2013,Nevada,All students,236.262899387868
2013,New Hampshire,All students,252.993525166642
2013,New Jersey,All students,246.870909198593
2013,New Mexico,All students,232.781432931356
2013,New York,All students,240.349816866839
2013,North Carolina,All students,244.801732892983
2013,North Dakota,All students,246.424794889496
2013,Ohio,All students,245.549796905114
2013,Oklahoma,All students,238.921877478041
2013,Oregon,All students,240.099252018006
2013,Pennsylvania,All students,244.012619964297
2013,Rhode Island,All students,241.416735236635
2013,South Carolina,All students,236.625899742704
2013,South Dakota,All students,240.981099722242
2013,Tennessee,All students,239.774787022732
2013,Texas,All students,241.926288740505
2013,Utah,All students,242.820688734808
2013,Vermont,All students,247.803294738209
2013,Virginia,All students,246.177456938875
2013,Washington,All students,246.288338069866
2013,West Virginia,All students,237.440632664342
2013,Wisconsin,All students,244.706291648161
