STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE
Arizona,2013,8164324,7600581,2643742
Arkansas,2013,5067546,5226339,1694335
California,2013,68868516,69727119,20595508
Colorado,2013,8826868,8699125,2773716
Connecticut,2013,10319361,9758850,2966636
Delaware,2013,1930466,1924626,560882
District of Columbia,2013,1300036,1308438,332997
Florida,2013,24681548,25245400,7622221
Georgia,2013,17459504,17317504,4956142
Hawaii,2013,2331770,2345917,770643
Idaho,2013,2015534,1967676,631575
Illinois,2013,30057886,29517831,9509657
Indiana,2013,12236713,11211155,3595471
Iowa,2013,6281345,6318241,1748683
Kansas,2013,5667223,5621023,1595974
Kentucky,2013,7216175,7413896,2323851
Louisiana,2013,8121179,7940880,2657751
Maine,2013,2650346,2535405,867538
Maryland,2013,13814727,13284637,4243954
Massachusetts,2013,16114783,16201905,4759997
Michigan,2013,18270327,17468264,5675448
Minnesota,2013,10848720,10942019,2652321
Mississippi,2013,4444064,4370050,1465175
Missouri,2013,10103589,10001763,3082015
Montana,2013,1671053,1679521,545326
Nebraska,2013,3870164,3913038,1026626
Nevada,2013,4131800,4057443,1396907
New Hampshire,2013,2976317,2878534,879507
New Jersey,2013,28070096,28179900,9131634
New Mexico,2013,3518621,3536546,1096508
New York,2013,59623918,60505950,14846782
North Carolina,2013,12729402,13650536,3957680
North Dakota,2013,1405349,1516575,400607
Ohio,2013,22536516,22015797,7376469
Oklahoma,2013,5878111,5796945,1972011
Oregon,2013,6077498,6228197,2067538
Pennsylvania,2013,28484645,28495118,7737010
Rhode Island,2013,2282659,2231413,765178
South Carolina,2013,8254462,8224795,2621911
South Dakota,2013,1316613,1332496,390637
Tennessee,2013,9008032,9248235,2780452
Texas,2013,49734537,50674724,14150552
Utah,2013,4300793,4584624,1097484
Vermont,2013,1817307,1809138,538854
Virginia,2013,15322318,15634918,4874065
Washington,2013,12242231,12097549,3777476
West Virginia,2013,3486366,3488877,1130079
Wisconsin,2013,11097447,10845059,3551036
Wyoming,2013,1695967,1675477,546422
