STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE
Kansas,2003,4068800,3818740,1196089
Kentucky,2003,4872025,4700494,1473773
Louisiana,2003,5478321,5515322,1645457
Maine,2003,2162605,2154117,569146
Maryland,2003,8700979,8732518,2630831
Massachusetts,2003,11591832,11382398,3444135
Michigan,2003,18488359,19680370,6144707
Minnesota,2003,8484497,8938770,2130933
Mississippi,2003,3260771,3205193,965269
Missouri,2003,7622601,7905481,2334521
Montana,2003,1205602,1214879,384824
Nebraska,2003,2600831,2623966,683210
Nevada,2003,2778564,3009028,767835
New Hampshire,2003,2028602,2122604,570036
New Jersey,2003,19785039,19812932,6429003
New Mexico,2003,2626262,2658140,851701
New York,2003,38033080,41603390,10000845
North Carolina,2003,9907235,9989670,2721749
North Dakota,2003,882913,895278,239435
Ohio,2003,18018740,18760200,6097596
Oklahoma,2003,4426835,4376502,1402007
Oregon,2003,4592019,4978764,1546156
Pennsylvania,2003,19811545,20626459,5765734
Rhode Island,2003,1728055,1646238,525727
South Carolina,2003,5709707,6024747,1731328
South Dakota,2003,965778,993823,295468
Tennessee,2003,5994756,6482671,1716956
Texas,2003,35143236,37333674,10264033
Utah,2003,2875622,2957874,705128
Vermont,2003,1451171,1440961,345187
Virginia,2003,10504167,10746679,3184333
Washington,2003,8565636,8802387,2514359
West Virginia,2003,2497707,2524444,761887
Wisconsin,2003,8931497,9128279,2757563
Wyoming,2003,962240,915515,292271
Alabama,2002,5128559,5147821,1414594
Alaska,2002,1377767,1523327,485124
Arizona,2002,6192222,6018188,1833852
Arkansas,2002,3147921,3087453,910208
California,2002,54727056,56464225,15568570
Colorado,2002,5849588,6237142,1967267
Connecticut,2002,6644334,6475918,1847167
Delaware,2002,1180255,1246284,352551
District of Columbia,2002,1138126,1145684,431693
Florida,2002,18541689,19051049,5589428
Georgia,2002,13042229,12690343,3341604
Hawaii,2002,1889600,1436637,457784
Idaho,2002,1625444,1666027,499035
Illinois,2002,19084554,20563001,6025120
Indiana,2002,9273957,9353054,2650367
Iowa,2002,4191217,4418238,1180608
Kansas,2002,3823261,3690815,1195259
Kentucky,2002,4621025,4541670,1424273
Louisiana,2002,5229238,5298267,1536497
Maine,2002,2041986,2057022,548552
Maryland,2002,8430663,8568446,2469485
Massachusetts,2002,11217085,11507438,3256542
Michigan,2002,18055855,18881772,5841256
Minnesota,2002,8065042,8716123,2071915
Mississippi,2002,3029559,3026111,875637
Missouri,2002,7455539,7636924,2224948
Montana,2002,1168799,1163960,361751
Nebraska,2002,2528312,2562812,667614
Nevada,2002,2592064,2913023,738868
New Hampshire,2002,1887115,1956047,523976
New Jersey,2002,18071365,18155147,5983500
New Mexico,2002,2537261,2542682,814180
New York,2002,35748163,39585780,9379511
North Carolina,2002,9701231,9882399,2625671
North Dakota,2002,846759,838666,224356
Ohio,2002,17589983,17608944,5665971
Oklahoma,2002,4370415,4467944,1439564
Oregon,2002,4772603,4980466,1597299
Pennsylvania,2002,18586743,20018554,5448465
Rhode Island,2002,1633707,1600087,484397
South Carolina,2002,5627004,5897462,1620800
South Dakota,2002,930874,981977,271549
Tennessee,2002,5785857,6363357,1624709
Texas,2002,32802734,35668486,9580137
Utah,2002,2865058,2924051,683525
Vermont,2002,1387074,1392880,326292
Virginia,2002,9914221,10209197,3003921
Washington,2002,8250593,8362656,2430537
West Virginia,2002,2413744,2427316,710125
Wisconsin,2002,8624767,8863966,2601068
Wyoming,2002,908719,868607,272836
Alabama,2001,4832946,5086045,1374265
Alaska,2001,1325498,1402839,479510
Arizona,2001,5916342,5858385,1701945
Arkansas,2001,2974588,2951677,877225
California,2001,53288943,52082540,14127664
Colorado,2001,5372784,5727966,1844900
Connecticut,2001,6331569,5987680,1748476
Delaware,2001,1153831,1175717,349525
District of Columbia,2001,1042261,1026146,394656
Florida,2001,18467090,18389394,5514993
Georgia,2001,12271962,11853800,3131291
Hawaii,2001,1682332,1363164,412203
Idaho,2001,1571348,1535485,461819
Illinois,2001,18534372,19337580,5702703
Indiana,2001,9124748,8991877,2553481
Iowa,2001,4068110,4211493,1171278
Kansas,2001,3681845,3491029,1159966
Kentucky,2001,4536133,4350588,1372283
Louisiana,2001,4982369,4939894,1457593
Maine,2001,1914551,1958646,513216
Maryland,2001,7864290,7981362,2366854
Massachusetts,2001,10613329,10572138,2711995
Michigan,2001,16772419,17573761,5430837
Minnesota,2001,7836617,8221636,2112589
Mississippi,2001,2823151,2930393,847817
Missouri,2001,7081783,7100685,2100767
Montana,2001,1139959,1129098,354844
Nebraska,2001,2355374,2344564,634842
Nevada,2001,2381897,2692840,734647
New Hampshire,2001,1757828,1796043,486152
New Jersey,2001,16854895,17144456,5499870
New Mexico,2001,2373143,2315182,761848
New York,2001,34373567,38062603,9100764
North Carolina,2001,9670620,9807815,2587298
North Dakota,2001,818139,814838,218137
Ohio,2001,16693845,16282257,5327100
Oklahoma,2001,4257128,4288405,1386368
Oregon,2001,4561948,4715944,1553819
Pennsylvania,2001,17792997,18666522,5142302
Rhode Island,2001,1592622,1504125,464571
South Carolina,2001,5437615,5492539,1545738
South Dakota,2001,886661,950595,265808
Tennessee,2001,5560822,6165661,1556508
Texas,2001,30868844,33201450,9050782
Utah,2001,2741771,2669621,653354
Vermont,2001,1300273,1306513,303287
Virginia,2001,9493862,9862715,2865861
Washington,2001,7936037,8026334,2330122
West Virginia,2001,2321731,2310098,699263
Wisconsin,2001,8363904,8574804,2495299
Wyoming,2001,804297,787949,254937
Alabama,2000,4885917,5003267,1319053
Alaska,2000,1313510,1386904,417637
Arizona,2000,5479168,5397194,1573568
Arkansas,2000,2844855,2683400,804253
California,2000,46628207,45829753,12429070
Colorado,2000,5073266,5444193,1674044
Connecticut,2000,5884078,5605280,1634888
Delaware,2000,1098555,1040480,313410
District of Columbia,2000,881423,858807,429891
Florida,2000,17558787,17180954,5113323
Georgia,2000,11197766,10884510,2931538
Hawaii,2000,1404895,1363511,373038
Idaho,2000,1452222,1467977,425211
Illinois,2000,17595047,18073190,5245226
Indiana,2000,8489991,8518477,2373445
Iowa,2000,3822452,3974813,1104075
Kansas,2000,3518271,3327090,1092448
Kentucky,2000,4330089,4510972,1284053
Louisiana,2000,4785331,4807097,1384760
Maine,2000,1792390,1842276,474866
Maryland,2000,7419047,7355698,2189499
Massachusetts,2000,9464271,9466363,2503616
Michigan,2000,15939477,16580526,5109653
Minnesota,2000,7344747,7736391,1942294
Mississippi,2000,2743284,2996474,810371
Missouri,2000,6675260,6708608,1913563
Montana,2000,1104935,1051768,327975
Nebraska,2000,2263952,2165529,570910
Nevada,2000,2252416,2437438,695694
New Hampshire,2000,1586869,1640395,445733
New Jersey,2000,15651060,15907248,5041897
New Mexico,2000,2191695,2165031,727644
New York,2000,31906526,33683043,8377510
North Carolina,2000,9064700,9275837,2356589
North Dakota,2000,812982,802768,204117
Ohio,2000,15327834,14909952,4889221
Oklahoma,2000,3906833,3876871,1226386
Oregon,2000,4369400,4398318,1433944
Pennsylvania,2000,17090654,17861852,4887123
Rhode Island,2000,1464820,1388454,421472
South Carolina,2000,4690418,4961392,1418846
South Dakota,2000,868161,898609,245481
Tennessee,2000,5338531,5805181,1471174
Texas,2000,28918934,31067935,8307904
Utah,2000,2546642,2478420,596620
Vermont,2000,1211370,1193813,283821
Virginia,2000,8911426,9154676,2639328
Washington,2000,7620930,7811937,2285577
West Virginia,2000,2243151,2243563,672003
Wisconsin,2000,7848352,8183251,2316000
Wyoming,2000,787323,769923,242832
